Photolysis rate coefficients, s-1
   1 = O3 -> O2 + O(1D)                                  
   2 = O3 -> O2 + O(3P)                                  
   3 = CHOCHO -> 2 HO2 + 2 CO                            
   4 = CHOCHO -> H2 + 2 CO                               
   5 = CHOCHO -> CH2O + CO                               
   6 = c-C6H10O + hv -> 5-hexenal                        
   7 = c-C6H10O + hv -> cyclopentane + CO                
   8 = c-C6H10O + hv -> 1-pentene + CO                   
values at z =      0.500 km
Columns: sza, photo-reactions
 sza, deg.          1          2          3          4          5          6          7          8
   49.5000  1.518E-05  4.138E-04  1.114E-04  0.000E+00  1.727E-05  7.032E-06  1.211E-07  3.409E-07
   50.0000  1.478E-05  4.118E-04  1.104E-04  0.000E+00  1.702E-05  6.923E-06  1.173E-07  3.319E-07
   50.5000  1.439E-05  4.097E-04  1.094E-04  0.000E+00  1.677E-05  6.812E-06  1.136E-07  3.231E-07
   51.0000  1.399E-05  4.075E-04  1.084E-04  0.000E+00  1.652E-05  6.701E-06  1.099E-07  3.143E-07
   51.5000  1.360E-05  4.054E-04  1.073E-04  0.000E+00  1.626E-05  6.590E-06  1.062E-07  3.055E-07
   52.0000  1.322E-05  4.031E-04  1.063E-04  0.000E+00  1.601E-05  6.477E-06  1.026E-07  2.968E-07
   52.5000  1.283E-05  4.008E-04  1.052E-04  0.000E+00  1.575E-05  6.364E-06  9.905E-08  2.882E-07
   53.0000  1.245E-05  3.985E-04  1.041E-04  0.000E+00  1.549E-05  6.250E-06  9.553E-08  2.796E-07
   53.5000  1.207E-05  3.962E-04  1.030E-04  0.000E+00  1.523E-05  6.136E-06  9.205E-08  2.711E-07
   54.0000  1.170E-05  3.937E-04  1.019E-04  0.000E+00  1.497E-05  6.020E-06  8.863E-08  2.627E-07
   54.5000  1.133E-05  3.913E-04  1.007E-04  0.000E+00  1.470E-05  5.905E-06  8.525E-08  2.543E-07
   55.0000  1.096E-05  3.888E-04  9.956E-05  0.000E+00  1.443E-05  5.788E-06  8.192E-08  2.460E-07
   55.5000  1.060E-05  3.862E-04  9.837E-05  0.000E+00  1.417E-05  5.672E-06  7.865E-08  2.379E-07
   56.0000  1.025E-05  3.836E-04  9.717E-05  0.000E+00  1.390E-05  5.554E-06  7.544E-08  2.298E-07
   56.5000  9.895E-06  3.809E-04  9.595E-05  0.000E+00  1.362E-05  5.437E-06  7.228E-08  2.218E-07
   57.0000  9.548E-06  3.782E-04  9.472E-05  0.000E+00  1.335E-05  5.319E-06  6.918E-08  2.139E-07
   57.5000  9.206E-06  3.754E-04  9.346E-05  0.000E+00  1.308E-05  5.200E-06  6.615E-08  2.061E-07
   58.0000  8.869E-06  3.726E-04  9.219E-05  0.000E+00  1.280E-05  5.082E-06  6.318E-08  1.984E-07
   58.5000  8.538E-06  3.697E-04  9.090E-05  0.000E+00  1.253E-05  4.963E-06  6.027E-08  1.908E-07
   59.0000  8.213E-06  3.667E-04  8.958E-05  0.000E+00  1.225E-05  4.844E-06  5.743E-08  1.834E-07
   59.5000  7.893E-06  3.637E-04  8.826E-05  0.000E+00  1.197E-05  4.724E-06  5.465E-08  1.760E-07
   60.0000  7.579E-06  3.606E-04  8.691E-05  0.000E+00  1.169E-05  4.605E-06  5.195E-08  1.688E-07
   60.5000  7.271E-06  3.575E-04  8.554E-05  0.000E+00  1.141E-05  4.486E-06  4.931E-08  1.617E-07
   61.0000  6.969E-06  3.542E-04  8.415E-05  0.000E+00  1.113E-05  4.366E-06  4.675E-08  1.548E-07
   61.5000  6.673E-06  3.510E-04  8.275E-05  0.000E+00  1.085E-05  4.247E-06  4.426E-08  1.480E-07
   62.0000  6.384E-06  3.476E-04  8.133E-05  0.000E+00  1.057E-05  4.128E-06  4.184E-08  1.413E-07
